Date,Open,High,Low,Close,Volume,price_change,label,sma_7,price_sma_7_ratio,sma_14,price_sma_14_ratio,sma_30,price_sma_30_ratio,ema_12,ema_26,rsi,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,bb_width,bb_position,atr,stoch_k,stoch_d,volume_sma_20,volume_ratio,obv,daily_return,volatility_7,volatility_14,volatility_30,momentum_7,momentum_14,momentum_30,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,news_count,vader_mean,finbert_mean,confidence_mean,sentiment_ma_3,sentiment_ma_7,sentiment_momentum,sentiment_acceleration,sentiment_volatility,price_return_7d,sent_price_divergence,close_lag_1,return_lag_1,close_lag_2,return_lag_2,close_lag_3,return_lag_3,close_lag_4,return_lag_4,close_lag_5,return_lag_5,close_lag_6,return_lag_6,close_lag_7,return_lag_7,sentiment_lag_1,sentiment_lag_2,sentiment_lag_3,volume_lag_1,volume_change,day_of_week,month,quarter,is_weekend,is_month_start,is_month_end
2024-06-01 00:00:00+00:00,67489.609375,67839.765625,67386.1953125,67706.9375,11641495604,0.0006596674454519835,1,68192.90066964286,0.9928736985100974,68575.52455357143,0.9873338620560913,65786.17760416666,1.0291970131991934,67872.337118329,66756.90999252122,53.76036453713955,1115.4271258077788,1412.4746085678808,-297.04748276010196,71989.51410722396,67500.166796875,63010.81948652603,0.13301736938987258,0.5230290383914327,2289.7110014688365,29.450407442653812,34.28501882140927,28553744427.85,0.40770469293146105,-78787109411,0.0031933460054698326,0.012106268946880596,0.02504357004113034,0.027975957732813014,-0.022507565665441875,0.011444929831311956,0.14517938801100638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022507565665441875,0.022507565665441875,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,67578.09375,-0.01051485738366742,68296.21875,-0.015827408107827234,69394.5546875,0.012791671360530277,68518.09375,-0.010796814497022966,69265.9453125,0.010796524727518797,0.0,0.0,0.0,27387283769.0,-0.5749306246581067,5,6,2,1,1,0
2024-06-02 00:00:00+00:00,67710.2734375,68409.1640625,67315.5234375,67751.6015625,17110588415,0.015544720172089965,2,68083.40178571429,0.9951265622088245,68680.75558035714,0.9864714065824447,65948.23645833334,1.0273451604017652,67853.76241743223,66830.59084955668,53.912160852336235,1023.1715678755427,1334.6140004294132,-311.4424325538705,71705.2496765608,67742.6744140625,63780.0991515642,0.11698904115529626,0.5011264326664011,2204.2774031496338,28.418899984935685,27.911068486773374,28014814789.65,0.6107692855896182,-61676520996,0.0006596674454519835,0.011672181687834944,0.024845351734418736,0.025679822657952323,-0.011186712086542872,0.02222798233445089,0.07730606309470467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011186712086542872,0.011186712086542872,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,67578.09375,-0.01051485738366742,68296.21875,-0.015827408107827234,69394.5546875,0.012791671360530277,68518.09375,-0.010796814497022966,0.0,0.0,0.0,11641495604.0,0.46979297137051934,6,6,2,1,0,0
2024-06-03 00:00:00+00:00,67753.8984375,70230.8203125,67589.8359375,68804.78125,32401285324,0.025622992224831664,2,67999.1484375,1.0118476897286512,68491.94029017857,1.00456755873021,66112.01341145833,1.04073038619748,68000.07300705805,66976.82717551544,57.45856252794009,1023.2458315426047,1272.3403666520517,-249.09453510944695,70887.13794124138,68105.2740234375,65323.41010563361,0.08169305410463648,0.6257263560028351,2235.470758281803,43.79326779946244,33.88752507568398,28225565479.5,1.1479410517933748,-29275235672,0.015544720172089965,0.012267080103867711,0.012813482590180954,0.025673178561408123,-0.008498843175172577,-0.036997632353598875,0.0769008506062252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008498843175172577,0.008498843175172577,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,67578.09375,-0.01051485738366742,68296.21875,-0.015827408107827234,69394.5546875,0.012791671360530277,0.0,0.0,0.0,17110588415.0,0.8936394551805951,0,6,2,0,0,0
2024-06-04 00:00:00+00:00,68804.5703125,71047.40625,68564.640625,70567.765625,33149696545,0.007298724608017615,2,68323.65513392857,1.0328452932834538,68522.74274553571,1.0298444399264437,66329.901171875,1.0638907095933068,68395.10264058757,67242.822616218,62.640931059210295,1152.2800243695674,1248.328298195555,-96.04827382598751,71164.77849386666,68320.2876953125,65475.79689675834,0.08326928631330467,0.8950580418171651,2253.1346773331024,89.77410897801052,53.99542558746955,27892291953.05,1.188489515339922,3874460873,0.025622992224831664,0.013899296763076694,0.013993366739596346,0.026008797812684337,0.033260214351178874,0.006148498753992815,0.1020852283160596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033260214351178874,-0.033260214351178874,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,67578.09375,-0.01051485738366742,68296.21875,-0.015827408107827234,0.0,0.0,0.0,32401285324.0,0.02309819544243963,1,6,2,0,0,0
2024-06-05 00:00:00+00:00,70568.3515625,71735.4140625,70390.7109375,71082.8203125,32810771409,-0.004581363662391591,1,68824.33035714286,1.0328152841246314,68662.77734375,1.0352453405232127,66593.93020833333,1.0674068956453473,68808.59766703565,67527.26689001668,64.01994152411446,1281.3307770189713,1254.9287939602382,26.401983058733094,71327.08150167568,68612.849609375,65898.61771707432,0.07911730551210978,0.9550036255434613,2188.2467093093096,87.86653361280455,73.81130346342583,27954176623.8,1.173734138213362,36685232282,0.007298724608017615,0.012156410753155943,0.013396130604297212,0.025812973136817286,0.051861873693352045,0.02836253069879846,0.1254057417752814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051861873693352045,-0.051861873693352045,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,67578.09375,-0.01051485738366742,0.0,0.0,0.0,33149696545.0,-0.010224079594210345,2,6,2,0,0,0
2024-06-06 00:00:00+00:00,71082.84375,71625.734375,70119.125,70757.1640625,25223152007,-0.01999201273457618,0,69166.06919642857,1.0230039799074426,68864.74888392857,1.027480172501044,66874.67513020833,1.0580561912971131,69108.3771124917,67766.51853242284,62.450312958920435,1341.8585800688597,1272.3147511819625,69.54382888689724,71566.15518274528,68798.1140625,66030.07294225472,0.08046851742856324,0.8538693817934337,2139.558328287216,80.86643206082842,86.16902488388116,27813770258.65,0.9068584292039902,11462080275,-0.004581363662391591,0.012726288211002752,0.012378262306930028,0.02566194513706162,0.034991181867455756,0.041625493502920774,0.13511466210728318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034991181867455756,-0.034991181867455756,71082.8203125,0.007298724608017615,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,68364.9921875,0.011644282841286824,0.0,0.0,0.0,32810771409.0,-0.2312539168133888,3,6,2,0,0,0
2024-06-07 00:00:00+00:00,70759.1875,71907.8515625,68507.2578125,69342.5859375,36188381096,-0.0005308786729295578,1,69430.52232142857,0.9987334621577314,68923.06919642857,1.00608673911308,67146.49661458333,1.0327059404978651,69144.40923941605,67883.26426613226,56.02471591118547,1261.1449732837937,1270.0807956023289,-8.935822318535202,71558.98642040325,68918.203125,66277.41982959675,0.07663529156770219,0.5803516920980819,2229.6322869809865,51.364113714901045,73.36569312951133,28787575443.15,1.2570833263629715,-24726300821,-0.01999201273457618,0.014564635932359297,0.013664289390725077,0.025712664700444483,0.02742825736745913,0.011914939802249114,0.13327208505199106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02742825736745913,-0.02742825736745913,70757.1640625,-0.004581363662391591,71082.8203125,0.007298724608017615,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,67491.4140625,-0.012778150001159894,0.0,0.0,0.0,25223152007.0,0.4347287399273849,4,6,2,0,0,0
2024-06-08 00:00:00+00:00,69324.1796875,69533.3203125,69210.7421875,69305.7734375,14262185861,0.00493781012787653,1,69658.92745535714,0.9949302403761029,68925.9140625,1.0055111256798939,67355.02369791667,1.0289622010725188,69169.23450065973,67988.6353158632,55.86362869801051,1180.5991847965342,1252.18447344117,-71.58528864463574,71418.6966614494,69069.5734375,66720.4502135506,0.06802194098028082,0.550274076215315,2093.4141325537735,50.6661709574643,60.965572244397926,28538230009.3,0.499757197848369,-38988486682,-0.0005308786729295578,0.014665141716374591,0.013367452376653436,0.025252805015992107,0.023614063736083102,0.0005750029804734158,0.09921992665786505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023614063736083102,-0.023614063736083102,69342.5859375,-0.01999201273457618,70757.1640625,-0.004581363662391591,71082.8203125,0.007298724608017615,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,67706.9375,0.0031933460054698326,0.0,0.0,0.0,36188381096.0,-0.6058904701162098,5,6,2,1,0,0
2024-06-09 00:00:00+00:00,69297.4921875,69817.5234375,69160.84375,69647.9921875,13534028500,-0.0019485261992140401,1,69929.84040178571,0.9959695573067758,69006.62109375,1.009294341377455,67650.19752604167,1.029531246537592,69242.88952940439,68111.55063968814,57.09857008268986,1131.3388897162513,1228.0153566961862,-96.67646697993496,71082.25628157373,68979.56328125,66876.87028092626,0.06096568027693759,0.6589459103509381,1990.790243621361,57.15443168470525,53.06157211902354,27022398648.45,0.500844824179822,-25454458182,0.00493781012787653,0.014619438606019431,0.013035995321413639,0.024139744371240536,0.02799034386295074,0.016490511858409773,0.14566228474278442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02799034386295074,-0.02799034386295074,69305.7734375,-0.0005308786729295578,69342.5859375,-0.01999201273457618,70757.1640625,-0.004581363662391591,71082.8203125,0.007298724608017615,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,67751.6015625,0.0006596674454519835,0.0,0.0,0.0,14262185861.0,-0.05105510249948075,6,6,2,1,0,0
2024-06-10 00:00:00+00:00,69644.3125,70146.0703125,69232.421875,69512.28125,20597699541,-0.03136496113771259,0,70030.91183035714,0.9925942620651081,69015.03013392857,1.0072049684700055,67940.81653645834,1.023129906198557,69284.33440949602,68215.3084626742,56.42433414651078,1069.0259468218137,1196.2174747213119,-127.19152789949817,70999.31730552303,68948.35078125,66897.38425697698,0.05949283778462099,0.637479198727996,1913.8515431841208,54.5814343079154,54.134012316694985,25705683326.0,0.801289710130618,-46052157723,-0.0019485261992140401,0.01379767766749718,0.012620550659240335,0.024155869630401283,0.010282715636131812,0.0016964812733528678,0.14341237239923177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010282715636131812,-0.010282715636131812,69647.9921875,0.00493781012787653,69305.7734375,-0.0005308786729295578,69342.5859375,-0.01999201273457618,70757.1640625,-0.004581363662391591,71082.8203125,0.007298724608017615,70567.765625,0.025622992224831664,68804.78125,0.015544720172089965,0.0,0.0,0.0,13534028500.0,0.5219193266070039,0,6,2,0,0,0
