date,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,news_count,vader_mean,finbert_mean,confidence_mean
2026-04-25,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0
2026-04-26,-0.20395,0.11009652583074546,-0.2818,-0.1261,2,-0.6798,0.0,0.66005
2026-04-27,-0.33507777777777775,0.6684858221716033,-0.9749,0.9447,9,-0.3391222222222222,-0.3333333333333333,0.8692777777777778
2026-04-28,0.10032380952380951,0.46414630157168424,-0.9765,0.976,63,0.06281746031746031,0.1164015873015873,0.7564428571428572
